Ort,Startpunkt,Datum,Uhrzeit,Breitengrad,Längengrad,Aufruf_Link,Aufruf_Link_href
Münster,Gleis 22,25.01.2025,11:30 Uhr,51.89,7.66,https://www.antennemuenster.de/artikel/kundgebungen-gegen-querdenker-2219980.html,"<a href=""https://www.antennemuenster.de/artikel/kundgebungen-gegen-querdenker-2219980.html"">Link</a>"
Münster,Stadthaus II am Ludgerikreisel,25.01.2025,12 Uhr,51.89,7.66,https://www.antennemuenster.de/artikel/kundgebungen-gegen-querdenker-2219980.html,"<a href=""https://www.antennemuenster.de/artikel/kundgebungen-gegen-querdenker-2219980.html"">Link</a>"
Bremen,Markt,08.02.2025,14 Uhr,53.08,8.8,https://www.butenunbinnen.de/nachrichten/laut-gegen-rechts-bremen-102.html,"<a href=""https://www.butenunbinnen.de/nachrichten/laut-gegen-rechts-bremen-102.html"">Link</a>"
Memmingen,Marktplatz,18.02.2025,18 Uhr,47.99,10.18,https://demokratie-memmingen.de/aktion-demonstration-am-18-februar/,"<a href=""https://demokratie-memmingen.de/aktion-demonstration-am-18-februar/"">Link</a>"
Frankfurt (Main),Römerberg,15.02.2025,11:55 Uhr,50.11,8.63,https://www.fnp.de/hessen/mehrere-demonstrationen-in-hessen-geplant-demos-gegen-rechts-zr-93518688.html,"<a href=""https://www.fnp.de/hessen/mehrere-demonstrationen-in-hessen-geplant-demos-gegen-rechts-zr-93518688.html"">Link</a>"
Frankfurt (Main),Hauptbahnhof,15.02.2025,19 Uhr,50.11,8.63,https://www.fnp.de/hessen/mehrere-demonstrationen-in-hessen-geplant-demos-gegen-rechts-zr-93518688.html,"<a href=""https://www.fnp.de/hessen/mehrere-demonstrationen-in-hessen-geplant-demos-gegen-rechts-zr-93518688.html"">Link</a>"
Ettlingen,Dickhäuterplatz,25.01.2025,18 Uhr,48.93,8.41,https://johannespfarrei-ettlingen.de/aktuelles/fuer-die-demokratie-ein-zeichen-setzten,"<a href=""https://johannespfarrei-ettlingen.de/aktuelles/fuer-die-demokratie-ein-zeichen-setzten"">Link</a>"
Trier,Hauptmarkt,15.02.2025,14 Uhr,49.76,6.64,https://www.buntes-trier.org/veranstaltungen/aktuelle-veranstltungen/232-kundgebung-fuer-eine-offene-und-solidarische-gesellschaft,"<a href=""https://www.buntes-trier.org/veranstaltungen/aktuelle-veranstltungen/232-kundgebung-fuer-eine-offene-und-solidarische-gesellschaft"">Link</a>"
Lüneburg,Clamartpark ,25.01.2025,12 Uhr,53.26,10.39,https://www.landeszeitung.de/lokales/lueneburg-lk/lueneburg/lueneburg-und-dahlenburg-gehen-auf-die-strasse-demos-gegen-rechtsextremismus-KU6YT3CWQJAPRFAY6PFICDKQQE.html,"<a href=""https://www.landeszeitung.de/lokales/lueneburg-lk/lueneburg/lueneburg-und-dahlenburg-gehen-auf-die-strasse-demos-gegen-rechtsextremismus-KU6YT3CWQJAPRFAY6PFICDKQQE.html"">Link</a>"
Lüneburg,Wandrahmpark,27.01.2025,16:30 Uhr,53.26,10.39,https://www.demokrateam.org/aktionen/kundgebung-gegen-rechts-gedenken-an-die-ns-verbrechen/,"<a href=""https://www.demokrateam.org/aktionen/kundgebung-gegen-rechts-gedenken-an-die-ns-verbrechen/"">Link</a>"
Flensburg,Suedermarkt,25.01.2025,16:30 Uhr,54.8,9.42,https://www.facebook.com/photo/?fbid=1879672612838112&set=gm.2104041210013431&idorvanity=1853285978422290,"<a href=""https://www.facebook.com/photo/?fbid=1879672612838112&set=gm.2104041210013431&idorvanity=1853285978422290"">Link</a>"
Kappeln,Parkplatz Rathaus,08.02.2025,11:55 Uhr,54.66,9.93,https://kappeln-ist-bunt.de/,"<a href=""https://kappeln-ist-bunt.de/"">Link</a>"
Schwelm,Parkplatz Schillerstraße,01.02.2025,11 Uhr,51.29,7.29,https://www.wp.de/lokales/ennepetal-gevelsberg-schwelm/article408085652/schwelm-steht-auf-grossdemo-gegen-rechts-geplant.html,"<a href=""https://www.wp.de/lokales/ennepetal-gevelsberg-schwelm/article408085652/schwelm-steht-auf-grossdemo-gegen-rechts-geplant.html"">Link</a>"
Hitzacker (Elbe),"Am Butt, jeden Samstag",25.01.2025,11 Uhr,53.16,10.99,https://www.facebook.com/groups/380672807703487/posts/605794688524630/,"<a href=""https://www.facebook.com/groups/380672807703487/posts/605794688524630/"">Link</a>"
Meldorf,Rathausplatz,01.02.2025,14 Uhr,54.09,9.07,https://www.mitteldithmarschen.de/tourismus-naherholung/touristinformation/veranstaltungskalender/veranstaltung/meldorf-ist-bunt-demo,"<a href=""https://www.mitteldithmarschen.de/tourismus-naherholung/touristinformation/veranstaltungskalender/veranstaltung/meldorf-ist-bunt-demo"">Link</a>"
